"4-way Transitions Tables"
""
"Infancy - Toddlerhood"
""
"","B","A","C","D",""
"B.Count","822.000","97.000","195.000","140.000","1254.000"
"B.Percentage","60.065","12.534","17.170","10.231","0.000"
"B.SE","7.529","5.214","4.234","3.239","0.000"
"B.CI_L","39.545","0.000","5.632","1.403","0.000"
"B.CI_U","80.584","26.745","28.708","19.060","0.000"
"B.ExpectedCount","740.028","131.239","206.398","176.335","0.000"
"B.ExpectedPercent","59.013","10.466","16.459","14.062","0.000"
"B.PercentDeviation","11.077","-26.089","-5.522","-20.606","0.000"
"B.StandardizedResidual","3.013","-2.989","-0.793","-2.736","0.000"
"B.AdjStandResidual","7.247","-4.863","-1.336","-4.544","0.000"
"A.Count","157.000","62.000","43.000","32.000","294.000"
"A.Percentage","44.989","30.681","13.209","11.121","0.000"
"A.SE","10.915","10.660","4.264","3.573","0.000"
"A.CI_L","15.241","1.629","1.587","1.384","0.000"
"A.CI_U","74.737","59.734","24.830","20.858","0.000"
"A.ExpectedCount","173.499","30.769","48.390","41.342","0.000"
"A.ExpectedPercent","59.013","10.466","16.459","14.062","0.000"
"A.PercentDeviation","-9.510","101.501","-11.139","-22.596","0.000"
"A.StandardizedResidual","-1.253","5.630","-0.775","-1.453","0.000"
"A.AdjStandResidual","-2.104","6.400","-0.912","-1.686","0.000"
"C.Count","119.000","21.000","61.000","23.000","224.000"
"C.Percentage","48.578","11.364","25.470","14.589","0.000"
"C.SE","9.659","6.646","3.120","4.592","0.000"
"C.CI_L","22.253","0.000","16.968","2.073","0.000"
"C.CI_U","74.902","29.476","33.972","27.104","0.000"
"C.ExpectedCount","132.190","23.443","36.869","31.498","0.000"
"C.ExpectedPercent","59.013","10.466","16.459","14.062","0.000"
"C.PercentDeviation","-9.978","-10.421","65.452","-26.980","0.000"
"C.StandardizedResidual","-1.147","-0.505","3.974","-1.514","0.000"
"C.AdjStandResidual","-1.892","-0.563","4.592","-1.725","0.000"
"D.Count","182.000","47.000","58.000","110.000","397.000"
"D.Percentage","46.339","15.553","18.318","19.790","0.000"
"D.SE","10.669","6.254","4.088","7.043","0.000"
"D.CI_L","17.261","0.000","7.177","0.595","0.000"
"D.CI_U","75.416","32.596","29.460","38.984","0.000"
"D.ExpectedCount","234.283","41.549","65.343","55.825","0.000"
"D.ExpectedPercent","59.013","10.466","16.459","14.062","0.000"
"D.PercentDeviation","-22.316","13.120","-11.238","97.043","0.000"
"D.StandardizedResidual","-3.416","0.846","-0.908","7.251","0.000"
"D.AdjStandResidual","-5.903","0.989","-1.100","8.653","0.000"
".CountTotal","1280.000","227.000","357.000","305.000","2169.000"
""
"Infancy - Preschool"
""
"","B","A","C","D",""
"B.Count","200.000","26.000","20.000","52.000","298.000"
"B.Percentage","67.366","9.299","6.557","16.777","0.000"
"B.SE","1.794","3.369","2.238","2.331","0.000"
"B.CI_L","61.970","0.000","0.000","9.765","0.000"
"B.CI_U","72.763","19.433","13.288","23.790","0.000"
"B.ExpectedCount","176.655","29.348","25.398","66.598","0.000"
"B.ExpectedPercent","59.280","9.848","8.523","22.348","0.000"
"B.PercentDeviation","13.215","-11.409","-21.253","-21.920","0.000"
"B.StandardizedResidual","1.756","-0.618","-1.071","-1.789","0.000"
"B.AdjStandResidual","4.170","-0.986","-1.697","-3.076","0.000"
"A.Count","44.000","14.000","8.000","33.000","99.000"
"A.Percentage","45.545","13.322","10.421","30.712","0.000"
"A.SE","4.502","2.774","4.777","2.626","0.000"
"A.CI_L","32.004","4.977","0.000","22.813","0.000"
"A.CI_U","59.086","21.668","24.789","38.610","0.000"
"A.ExpectedCount","58.688","9.750","8.438","22.125","0.000"
"A.ExpectedPercent","59.280","9.848","8.523","22.348","0.000"
"A.PercentDeviation","-25.027","43.590","-5.185","49.153","0.000"
"A.StandardizedResidual","-1.917","1.361","-0.151","2.312","0.000"
"A.AdjStandResidual","-3.333","1.590","-0.175","2.911","0.000"
"C.Count","25.000","5.000","7.000","3.000","40.000"
"C.Percentage","68.850","6.215","15.675","9.260","0.000"
"C.SE","9.968","6.063","7.054","8.160","0.000"
"C.CI_L","38.865","0.000","0.000","0.000","0.000"
"C.CI_U","98.835","24.454","36.894","33.805","0.000"
"C.ExpectedCount","23.712","3.939","3.409","8.939","0.000"
"C.ExpectedPercent","59.280","9.848","8.523","22.348","0.000"
"C.PercentDeviation","5.431","26.923","105.333","-66.441","0.000"
"C.StandardizedResidual","0.264","0.534","1.945","-1.986","0.000"
"C.AdjStandResidual","0.431","0.585","2.115","-2.345","0.000"
"D.Count","44.000","7.000","10.000","30.000","91.000"
"D.Percentage","45.921","14.087","8.768","31.223","0.000"
"D.SE","9.589","5.659","4.010","7.895","0.000"
"D.CI_L","17.077","0.000","0.000","7.475","0.000"
"D.CI_U","74.766","31.111","20.831","54.972","0.000"
"D.ExpectedCount","53.945","8.962","7.756","20.337","0.000"
"D.ExpectedPercent","59.280","9.848","8.523","22.348","0.000"
"D.PercentDeviation","-18.436","-21.893","28.938","47.514","0.000"
"D.StandardizedResidual","-1.354","-0.655","0.806","2.143","0.000"
"D.AdjStandResidual","-2.332","-0.759","0.926","2.673","0.000"
".CountTotal","313.000","52.000","45.000","118.000","528.000"
""
"Infancy - School entry"
""
"","B","A","C","D",""
"B.Count","98.000","26.000","5.000","6.000","135.000"
"B.Percentage","78.097","14.414","2.786","4.703","0.000"
"B.SE","5.202","5.418","2.052","2.179","0.000"
"B.CI_L","61.508","0.000","0.000","0.000","0.000"
"B.CI_U","94.686","31.692","9.330","11.652","0.000"
"B.ExpectedCount","81.118","33.750","6.513","13.618","0.000"
"B.ExpectedPercent","60.088","25.000","4.825","10.088","0.000"
"B.PercentDeviation","20.811","-22.963","-23.232","-55.942","0.000"
"B.StandardizedResidual","1.874","-1.334","-0.593","-2.064","0.000"
"B.AdjStandResidual","4.645","-2.412","-0.952","-3.409","0.000"
"A.Count","25.000","25.000","4.000","5.000","59.000"
"A.Percentage","31.237","54.143","4.520","10.100","0.000"
"A.SE","12.157","11.998","2.813","4.109","0.000"
"A.CI_L","0.000","15.880","0.000","0.000","0.000"
"A.CI_U","70.005","92.406","13.491","23.203","0.000"
"A.ExpectedCount","35.452","14.750","2.846","5.952","0.000"
"A.ExpectedPercent","60.088","25.000","4.825","10.088","0.000"
"A.PercentDeviation","-29.482","69.492","40.524","-15.991","0.000"
"A.StandardizedResidual","-1.755","2.669","0.684","-0.390","0.000"
"A.AdjStandResidual","-3.227","3.579","0.814","-0.478","0.000"
"C.Count","3.000","2.000","1.000","0.000","6.000"
"C.Percentage","31.507","21.005","47.489","0.000","0.000"
"C.SE","30.000","20.000","50.000","0.000","0.000"
"C.CI_L","0.000","0.000","0.000","0.000","0.000"
"C.CI_U","100.000","84.784","100.000","0.000","0.000"
"C.ExpectedCount","3.605","1.500","0.289","0.605","0.000"
"C.ExpectedPercent","60.088","25.000","4.825","10.088","0.000"
"C.PercentDeviation","-16.788","33.333","245.455","-100.000","0.000"
"C.StandardizedResidual","-0.319","0.408","1.321","-0.778","0.000"
"C.AdjStandResidual","-0.511","0.478","1.372","-0.831","0.000"
"D.Count","11.000","4.000","1.000","12.000","28.000"
"D.Percentage","39.376","16.991","6.505","37.128","0.000"
"D.SE","16.248","6.674","6.515","16.521","0.000"
"D.CI_L","0.000","0.000","0.000","0.000","0.000"
"D.CI_U","91.192","38.275","27.282","89.814","0.000"
"D.ExpectedCount","16.825","7.000","1.351","2.825","0.000"
"D.ExpectedPercent","60.088","25.000","4.825","10.088","0.000"
"D.PercentDeviation","-34.619","-42.857","-25.974","324.845","0.000"
"D.StandardizedResidual","-1.420","-1.134","-0.302","5.459","0.000"
"D.AdjStandResidual","-2.400","-1.398","-0.330","6.147","0.000"
".CountTotal","137.000","57.000","11.000","23.000","228.000"
""
"Toddlerhood - Preschool"
""
"","B","A","C","D",""
"B.Count","41.000","13.000","3.000","8.000","65.000"
"B.Percentage","56.356","22.818","3.705","17.121","0.000"
"B.SE","7.055","7.192","3.505","4.555","0.000"
"B.CI_L","27.229","0.000","0.000","0.000","0.000"
"B.CI_U","85.483","52.512","18.176","35.926","0.000"
"B.ExpectedCount","24.818","17.727","4.727","17.727","0.000"
"B.ExpectedPercent","38.182","27.273","7.273","27.273","0.000"
"B.PercentDeviation","65.201","-26.667","-36.538","-54.872","0.000"
"B.StandardizedResidual","3.248","-1.123","-0.794","-2.310","0.000"
"B.AdjStandResidual","5.307","-1.691","-1.060","-3.480","0.000"
"A.Count","9.000","19.000","0.000","8.000","36.000"
"A.Percentage","25.780","53.185","0.000","21.035","0.000"
"A.SE","12.863","7.661","0.000","5.261","0.000"
"A.CI_L","0.000","21.554","0.000","0.000","0.000"
"A.CI_U","78.885","84.816","0.000","42.755","0.000"
"A.ExpectedCount","13.745","9.818","2.618","9.818","0.000"
"A.ExpectedPercent","38.182","27.273","7.273","27.273","0.000"
"A.PercentDeviation","-34.524","93.519","-100.000","-18.519","0.000"
"A.StandardizedResidual","-1.280","2.930","-1.618","-0.580","0.000"
"A.AdjStandResidual","-1.841","3.886","-1.900","-0.770","0.000"
"C.Count","1.000","0.000","5.000","5.000","11.000"
"C.Percentage","9.384","2.188","35.044","53.384","0.000"
"C.SE","9.689","2.557","8.197","11.209","0.000"
"C.CI_L","0.000","0.000","1.200","7.107","0.000"
"C.CI_U","49.387","12.746","68.888","99.661","0.000"
"C.ExpectedCount","4.200","3.000","0.800","3.000","0.000"
"C.ExpectedPercent","38.182","27.273","7.273","27.273","0.000"
"C.PercentDeviation","-76.190","-100.000","525.000","66.667","0.000"
"C.StandardizedResidual","-1.561","-1.732","4.696","1.155","0.000"
"C.AdjStandResidual","-2.056","-2.102","5.048","1.402","0.000"
"D.Count","12.000","13.000","4.000","24.000","53.000"
"D.Percentage","23.668","27.044","5.868","43.421","0.000"
"D.SE","8.681","2.880","4.565","6.956","0.000"
"D.CI_L","0.000","15.152","0.000","14.704","0.000"
"D.CI_U","59.506","38.935","24.713","72.138","0.000"
"D.ExpectedCount","20.236","14.455","3.855","14.455","0.000"
"D.ExpectedPercent","38.182","27.273","7.273","27.273","0.000"
"D.PercentDeviation","-40.701","-10.063","3.774","66.038","0.000"
"D.StandardizedResidual","-1.831","-0.383","0.074","2.511","0.000"
"D.AdjStandResidual","-2.826","-0.545","0.093","3.573","0.000"
".CountTotal","63.000","45.000","12.000","45.000","165.000"
""
"Toddlerhood - School entry"
""
"","B","A","C","D",""
"B.Count","31.000","4.000","5.000","2.000","42.000"
"B.Percentage","73.810","9.524","11.905","4.762","0.000"
"B.SE","0.000","0.000","0.000","0.000","0.000"
"B.CI_L"," NaN"," NaN"," NaN"," NaN","0.000"
"B.CI_U"," NaN"," NaN"," NaN"," NaN","0.000"
"B.ExpectedCount","22.077","5.385","5.385","9.154","0.000"
"B.ExpectedPercent","52.564","12.821","12.821","21.795","0.000"
"B.PercentDeviation","40.418","-25.714","-7.143","-78.151","0.000"
"B.StandardizedResidual","1.899","-0.597","-0.166","-2.364","0.000"
"B.AdjStandResidual","4.059","-0.941","-0.261","-3.936","0.000"
"A.Count","3.000","3.000","0.000","3.000","9.000"
"A.Percentage","33.333","33.333","0.000","33.333","0.000"
"A.SE","0.000","0.000","0.000","0.000","0.000"
"A.CI_L"," NaN"," NaN"," NaN"," NaN","0.000"
"A.CI_U"," NaN"," NaN"," NaN"," NaN","0.000"
"A.ExpectedCount","4.731","1.154","1.154","1.962","0.000"
"A.ExpectedPercent","52.564","12.821","12.821","21.795","0.000"
"A.PercentDeviation","-36.585","160.000","-100.000","52.941","0.000"
"A.StandardizedResidual","-0.796","1.719","-1.074","0.741","0.000"
"A.AdjStandResidual","-1.228","1.957","-1.223","0.891","0.000"
"C.Count","5.000","1.000","4.000","3.000","13.000"
"C.Percentage","38.462","7.692","30.769","23.077","0.000"
"C.SE","0.000","0.000","0.000","0.000","0.000"
"C.CI_L"," NaN"," NaN"," NaN"," NaN","0.000"
"C.CI_U"," NaN"," NaN"," NaN"," NaN","0.000"
"C.ExpectedCount","6.833","1.667","1.667","2.833","0.000"
"C.ExpectedPercent","52.564","12.821","12.821","21.795","0.000"
"C.PercentDeviation","-26.829","-40.000","140.000","5.882","0.000"
"C.StandardizedResidual","-0.701","-0.516","1.807","0.099","0.000"
"C.AdjStandResidual","-1.115","-0.606","2.120","0.123","0.000"
"D.Count","2.000","2.000","1.000","9.000","14.000"
"D.Percentage","14.286","14.286","7.143","64.286","0.000"
"D.SE","0.000","0.000","0.000","0.000","0.000"
"D.CI_L"," NaN"," NaN"," NaN"," NaN","0.000"
"D.CI_U"," NaN"," NaN"," NaN"," NaN","0.000"
"D.ExpectedCount","7.359","1.795","1.795","3.051","0.000"
"D.ExpectedPercent","52.564","12.821","12.821","21.795","0.000"
"D.PercentDeviation","-72.822","11.429","-44.286","194.958","0.000"
"D.StandardizedResidual","-1.975","0.153","-0.593","3.406","0.000"
"D.AdjStandResidual","-3.166","0.181","-0.702","4.251","0.000"
